 Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Tsu Src,Earthquake Magnitude,Vol,More Info,Doubtful Runup,Country,Area,Location Name,Latitude,Longitude,Distance From Source (km),Initial Wave Arrival Dy,Initial Wave Arrival Hr,Initial Wave Arrival Min,Travel Hours,Travel Minutes,Max Wave Arrival Day,Max Wave Arrival Hr,Max Wave Arrival Min,Max Water Height (m),Max Inundation Distance (m),Measurement Type,Period,First Motion,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage $Mil,Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description
"[""2000 <= Year >= 2023"",""Deaths Description >= Few (~1 to 50 people)"",""Injuries Description >= Few (~1 to 50 people)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,6,23,20,33,14.1,4,1,2373,8.4,,,n,PERU,AREQUIPA,CAMANA,-16.623,-72.711,106.92888586143735,,,,,,,,,7,1000,1,,,4,1,,,16,1,,3,,,300,3
,2001,6,23,20,33,14.1,4,1,2373,8.4,,,n,PERU,AREQUIPA,SAMUEL PASTOR,-16.623,-72.711,106.92888586143735,,,,,,,,,,,1,,,17,1,60,1,25,1,,,,2,,2
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,SOMALIA,,EYL,7.96071,49.84294,5134.690890829702,,,,,,,,,9.52,500.7,5,,,95,2,,,80,2,,,48,1,,
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,SOMALIA,,BANDARBEYLA,9.49316,50.81461,5039.520613457875,,,,,,,,,8.94,48.6,5,,,7,1,,,30,1,,,102,3,,
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,SOMALIA,,FOAR,10.31077,50.89758,5038.582223956895,,,,,,,,,7.47,62.3,5,,,2,1,,,6,1,,,50,1,,1
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,INDIA,KERALA,ALLAPPAD,9.0833,76.4833,2249.9284124662317,,,,,,,,,,,1,,,130,3,,,,4,,,,1,2400,4
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,MYANMAR (BURMA),,AYEYARWADDY DELTA,,,,,,,,,,,,,,5,,,32,1,,,50,1,,1,,,550,3
,2004,12,26,0,58,53.5,4,1,2439,9.1,,,n,SOUTH AFRICA,,BLUE HORIZON BAY,-33.98,25.25,8456.355197196759,,,,,,,,,,,1,,,1,1,,,2,1,,,,,,
,2006,7,17,8,19,28.7,4,1,2832,7.7,,,n,INDONESIA,WEST JAVA,GARUT DISTRICT,-7.25,107.9167,228.5317830914573,,,,,,,,,,,1,,,2,1,,,30,1,,1,2,1,2,1
,2006,7,17,8,19,28.7,4,1,2832,7.7,,,n,INDONESIA,WEST JAVA,TASIKMALAYA DISTRICT,-7.3266,108.1933,229.9261001095011,,,,,,,,,,,1,,,181,3,,,67,1,,1,346,3,346,3
